gene_A,gene_B,lcbs_length,peak_col_pos,M,time_baseline_us,time_ms_us,speedup,lcbs_sequence
10150_at,10187_at,8,12,132,174.60001981817186,467.999983811751,0.37307697832827963,"[4, 6, 7, 9, 8, 6, 5, 0]"
10019_at,10097_at,8,8,132,171.79999849759042,462.09999709390104,0.3717809988704237,"[0, 1, 2, 9, 8, 6, 2, 1]"
10012_at,10072_at,8,3,132,175.0999945215881,489.5000020042062,0.35771193831391135,"[8, 9, 6, 5, 4, 3, 2, 1]"
10020_at,10181_at,9,26,132,170.30001617968082,465.29999235644937,0.3660004706151385,"[0, 3, 4, 5, 7, 9, 5, 3, 1]"
10002_i_at,10099_at,8,15,132,173.80001372657716,473.7999988719821,0.36682147349168076,"[0, 3, 6, 7, 3, 2, 1, 0]"
10054_at,10167_at,9,8,132,175.19999528303742,458.5999995470047,0.38203226222437037,"[0, 1, 2, 4, 6, 9, 7, 3, 2]"
10053_at,10124_at,8,14,132,171.39999545179307,455.5999767035246,0.37620720855156947,"[0, 2, 5, 7, 6, 3, 2, 1]"
10027_at,10109_at,9,15,132,173.00000763498247,472.6000188384205,0.3660600946656548,"[5, 9, 8, 7, 6, 5, 3, 2, 0]"
10033_at,10171_at,8,2,132,168.69997489266098,456.3999827951193,0.36963186076278054,"[4, 7, 9, 8, 6, 5, 4, 2]"
10023_at,10060_at,8,3,132,169.30000856518745,456.9999873638153,0.37045954758508254,"[3, 7, 9, 8, 6, 5, 4, 1]"
10048_at,10103_at,9,6,132,177.20001051202416,474.39997433684766,0.37352449430404755,"[3, 4, 6, 9, 8, 7, 6, 2, 0]"
10041_at,10053_at,8,8,132,174.7000205796212,465.8999969251454,0.37497321685470986,"[3, 4, 9, 8, 6, 4, 2, 1]"
10023_at,10026_at,9,27,132,178.69999282993376,461.3999917637557,0.38729951456399475,"[0, 5, 6, 7, 9, 8, 6, 3, 1]"
10128_at,10158_at,8,13,132,175.59999832883477,460.99998871795833,0.38091106860366447,"[7, 9, 7, 5, 4, 3, 1, 0]"
10040_at,10107_at,6,7,132,170.3999878372997,453.69999133981764,0.3755785565128466,"[7, 9, 5, 4, 3, 1]"
10123_at,10136_at,7,14,132,172.3000023048371,463.6000085156411,0.37165659866251705,"[0, 5, 8, 5, 3, 2, 1]"
10089_at,10146_at,9,13,132,170.8999916445464,455.10000200010836,0.37552184331676997,"[6, 8, 9, 7, 6, 5, 3, 1, 0]"
10005_at,10007_at,8,3,132,172.90000687353313,458.7999719660729,0.3768526971189934,"[5, 7, 9, 8, 7, 6, 4, 3]"
10022_at,10160_at,9,19,132,171.39999545179307,464.299984741956,0.3691578744010772,"[0, 1, 3, 5, 6, 9, 7, 1, 0]"
10100_at,10131_at,9,23,132,174.30001753382385,460.19998262636364,0.378748422672884,"[0, 1, 2, 3, 5, 7, 8, 2, 1]"
10072_at,10155_at,8,19,132,171.6000260785222,458.5999995470047,0.37418235117319026,"[0, 2, 4, 5, 9, 7, 6, 5]"
10161_g_at,10171_at,8,15,132,171.59999697469175,465.0999908335507,0.368952914118856,"[0, 1, 5, 7, 5, 4, 1, 0]"
10033_at,10087_at,8,12,132,173.19998005405068,521.6000135987997,0.33205516782687683,"[5, 7, 9, 7, 6, 4, 3, 0]"
10109_at,10167_at,9,8,132,193.9999929163605,496.69999862089753,0.3905778003926058,"[2, 4, 6, 9, 8, 7, 5, 3, 2]"
10110_at,10179_at,9,13,132,185.10001245886087,473.1999943032861,0.3911665568200018,"[5, 7, 8, 9, 6, 4, 3, 2, 0]"
10101_at,10186_s_at,9,13,132,182.00001795776188,483.5000145249069,0.37642194930769,"[6, 7, 8, 9, 8, 7, 5, 3, 2]"
10040_at,10131_at,8,19,132,187.70000315271318,498.3999824617058,0.37660515601469746,"[0, 1, 2, 4, 9, 8, 3, 1]"
10007_at,10068_i_at,9,8,132,187.70000315271318,476.9999941345304,0.39350105966620896,"[0, 1, 6, 9, 7, 5, 2, 1, 0]"
10033_at,10085_at,9,20,132,173.59998309984803,457.89999421685934,0.3791220469368075,"[0, 1, 2, 3, 5, 7, 8, 4, 2]"
10002_i_at,10167_at,10,19,132,171.09999316744506,456.0000088531524,0.3752192759771308,"[0, 1, 2, 4, 6, 7, 8, 9, 8, 7]"
10020_at,10056_at,9,13,132,180.60000729747117,508.5000011604279,0.3551622554283795,"[1, 3, 9, 7, 5, 4, 2, 1, 0]"
10114_at,10180_at,11,10,132,193.10001516714692,495.4000178258866,0.38978604808006667,"[0, 1, 3, 4, 5, 6, 7, 5, 3, 2, 1]"
10040_at,10128_at,9,26,132,187.70000315271318,471.79998364299536,0.39783808745263377,"[0, 3, 4, 6, 8, 5, 4, 1, 0]"
10136_at,10158_at,8,1,132,172.70000535063446,465.19999159500003,0.371238195337256,"[9, 8, 7, 6, 4, 3, 2, 1]"
10144_at,10154_at,8,2,132,171.59999697469175,457.20001799054444,0.3753280626035336,"[7, 9, 8, 6, 5, 4, 2, 1]"
10023_at,10027_at,10,25,132,173.69998386129737,464.9000184144825,0.37362868784925457,"[0, 1, 4, 7, 9, 8, 7, 4, 3, 1]"
10053_at,10159_at,9,20,132,172.999978531152,453.5000189207494,0.3814773347592391,"[0, 4, 5, 7, 9, 7, 6, 4, 3]"
10040_at,10161_g_at,8,19,132,174.19998766854405,461.89999557100236,0.37713788555723504,"[0, 3, 4, 6, 5, 4, 2, 1]"
10039_s_at,10086_at,7,1,132,172.50000382773578,449.8000198509544,0.3835037710422852,"[7, 9, 4, 3, 2, 1, 0]"
10001_at,10066_s_at,9,27,132,184.70000941306353,484.39999227412045,0.38129647472938516,"[0, 3, 4, 5, 6, 7, 8, 6, 2]"
10018_at,10041_at,8,10,132,188.50000924430788,488.59999515116215,0.38579617502040725,"[3, 4, 9, 8, 7, 6, 4, 3]"
10076_at,10131_at,8,7,132,179.29999739862978,460.599985672161,0.3892748653410712,"[0, 1, 6, 9, 4, 3, 2, 1]"
10107_at,10110_at,7,12,132,172.3000023048371,452.70001282915473,0.3806052516500849,"[6, 7, 9, 6, 4, 3, 2]"
10056_at,10179_at,8,1,132,176.10000213608146,455.7000065688044,0.3864384454633375,"[5, 9, 7, 5, 4, 2, 1, 0]"
10052_at,10078_at,8,14,132,172.89997776970267,646.7999774031341,0.2673159922854148,"[1, 2, 9, 7, 6, 4, 3, 0]"
10041_at,10043_at,7,1,132,192.0999784488231,501.4999769628048,0.3830508220802386,"[9, 8, 7, 6, 5, 3, 2]"
10002_i_at,10041_at,7,20,132,186.3999932538718,492.79999802820385,0.37824674107081424,"[1, 6, 9, 6, 4, 2, 1]"
10007_at,10088_at,9,12,132,185.49998640082777,508.60000192187726,0.3647266726304913,"[4, 6, 9, 7, 5, 4, 3, 2, 1]"
10005_at,10010_at,8,10,132,189.1000138130039,496.69999862089753,0.3807127327119907,"[2, 4, 9, 6, 5, 3, 2, 0]"
10111_at,10173_at,7,18,132,190.79999765381217,503.3000197727233,0.3790979339519444,"[1, 3, 7, 8, 7, 6, 5]"
10026_at,10103_at,9,6,132,185.79998868517578,501.00000225938857,0.3708582591761734,"[4, 9, 8, 7, 6, 4, 3, 2, 0]"
10077_at,10078_at,10,14,132,184.4999787863344,487.6999882981181,0.3783063014419316,"[0, 1, 2, 8, 9, 8, 5, 2, 1, 0]"
10048_at,10137_at,10,25,132,187.60000239126384,492.3000233247876,0.3810684409972037,"[1, 2, 3, 4, 7, 8, 7, 6, 5, 3]"
10087_at,10177_at,9,19,132,186.6999955382198,491.2999866064638,0.38001221377554883,"[0, 1, 2, 3, 8, 9, 8, 6, 5]"
10154_at,10162_at,9,25,132,185.8999894466251,484.6000229008496,0.3836153129622545,"[0, 1, 3, 8, 7, 5, 4, 1, 0]"
10001_at,10143_at,9,13,132,185.2000132203102,493.5000033583492,0.3752786463221752,"[5, 9, 8, 7, 6, 4, 3, 2, 0]"
10067_at,10180_at,9,19,132,185.69998792372644,494.7999841533601,0.3753031404022234,"[0, 1, 4, 5, 6, 7, 9, 8, 7]"
10109_at,10158_at,9,16,132,185.40001474320889,497.5999763701111,0.37258847175931087,"[0, 4, 7, 9, 8, 7, 6, 5, 3]"
10161_g_at,10170_g_at,10,15,132,184.29997726343572,490.6000103801489,0.375662399845096,"[1, 3, 5, 7, 8, 7, 5, 4, 2, 1]"
10086_at,10128_at,8,24,132,184.80001017451286,486.30000674165785,0.3800123537170463,"[0, 3, 8, 9, 5, 4, 1, 0]"
10039_s_at,10180_at,9,10,132,182.59999342262745,485.0999976042658,0.37641722186028254,"[1, 4, 5, 6, 7, 6, 2, 1, 0]"
10018_at,10076_at,9,15,132,182.79999494552612,484.1999907512218,0.3775299430756234,"[0, 1, 4, 9, 8, 7, 6, 3, 2]"
